,MS Zoning,Street,Alley,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Misc Feature,Sale Type,SalePrice,Exter Qual and Gr Liv Area
10,RM,Pave,0,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,CBlock,3,483.0,GasA,483,987,1,3,4,0,Detchd,1971.0,1,1.0,264.0,0,COD,85400,2961
11,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1208.0,GasA,1208,1208,2,4,6,0,Attchd,2005.0,2,2.0,632.0,0,WD ,183600,4832
12,RL,Pave,0,Bnk,FR2,SawyerW,Feedr,Norm,1Fam,2Story,5,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,PConc,0,0.0,GasA,1288,2016,1,3,7,3,Attchd,1900.0,1,2.0,576.0,0,WD ,131000,8064
13,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,PConc,4,960.0,GasA,962,1607,2,4,7,0,Detchd,2000.0,1,2.0,480.0,0,ConLD,200000,6428
14,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,1351.0,GasA,1361,1361,2,4,6,0,Attchd,2007.0,2,2.0,610.0,0,WD ,193000,5444
15,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,5,1430.0,GasA,1430,1430,2,4,7,0,Attchd,2004.0,2,2.0,624.0,0,WD ,173500,4290
16,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,BrkTil,3,624.0,GasA,624,1344,1,3,7,0,Detchd,1916.0,1,3.0,513.0,0,COD,98000,4032
17,RL,Pave,0,Lvl,Corner,Sawyer,Feedr,Norm,1Fam,1Story,5,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,1121.0,GasA,1121,1121,1,3,5,0,Detchd,1963.0,1,2.0,480.0,0,WD ,139000,3363
18,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,6,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,CBlock,3,660.0,GasA,1285,1285,1,3,7,3,Attchd,1977.0,2,2.0,528.0,0,WD ,143500,3855
19,FV,Pave,0,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,756.0,GasA,764,1547,2,4,7,0,Attchd,2009.0,1,2.0,614.0,0,Con,215200,4641
20,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,4,894.0,GasA,894,894,1,3,5,1,Attchd,1968.0,3,2.0,450.0,0,WD ,129000,2682
21,RL,Pave,0,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,4,1501.0,GasA,1659,1659,2,5,5,5,Attchd,2000.0,3,2.0,499.0,0,WD ,278000,6636
22,RL,Pave,0,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,CompShg,CemntBd,CmentBd,0,0.0,4,PConc,5,1209.0,GasA,1209,2253,2,5,8,4,Attchd,2005.0,3,2.0,575.0,0,New,344133,9012
23,RL,Pave,0,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,6,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,PConc,4,1168.0,GasA,1187,1187,2,3,6,0,Attchd,1992.0,3,2.0,420.0,Shed,WD ,185000,3561
24,RL,Pave,0,Bnk,Inside,Gilbert,Norm,Norm,2fmCon,1Story,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1056.0,GasA,1056,1056,1,3,5,0,Attchd,1955.0,3,2.0,572.0,0,WD ,145000,3168
25,RL,Pave,0,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,CBlock,3,1453.0,GasA,1453,1453,2,3,6,3,Attchd,1961.0,2,2.0,530.0,0,WD ,187500,4359
26,RL,Pave,0,Lvl,Inside,Sawyer,RRAe,Norm,1Fam,1Story,5,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,894.0,GasA,894,894,1,3,5,4,Detchd,1973.0,1,1.0,336.0,0,WD ,138500,2682
27,RL,Pave,Grvl,HLS,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,5,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,CBlock,3,942.0,GasA,1265,1938,2,4,7,4,Detchd,1937.0,1,1.0,240.0,0,WD ,198000,5814
28,C (all),Pave,0,Lvl,Inside,IDOTRR,Feedr,Norm,2fmCon,2Story,5,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,957.0,GasA,1034,1991,2,3,9,0,0,1980.0,0,0.0,0.0,0,WD ,119600,5973
29,RL,Pave,0,Lvl,Corner,NAmes,Artery,Norm,1Fam,1.5Fin,5,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,672.0,GasA,672,924,1,3,6,1,Detchd,2003.0,1,2.0,576.0,Shed,WD ,122900,2772
30,RL,Pave,0,Lvl,Inside,NWAmes,PosN,Norm,1Fam,1Story,8,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,PConc,4,2524.0,GasA,2524,2524,2,4,9,4,Attchd,1981.0,3,2.0,542.0,0,WD ,278000,10096
31,RL,Pave,0,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,8,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,PConc,4,792.0,GasA,792,1517,1,4,7,4,Detchd,1931.0,1,2.0,400.0,0,WD ,230000,4551
32,RL,Pave,0,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,8,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,PConc,4,1494.0,GasA,1494,1494,1,5,6,4,Attchd,1995.0,3,2.0,481.0,0,WD ,270000,5976
33,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,948.0,GasA,948,948,1,3,5,0,Detchd,1952.0,1,2.0,410.0,0,WD ,125000,2844
34,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,PConc,5,1705.0,GasA,1718,1718,2,4,7,4,Attchd,2007.0,2,3.0,826.0,0,WD ,297000,6872
35,RL,Pave,0,HLS,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,CBlock,4,160.0,GasA,1142,1142,1,3,5,4,Basment,1958.0,2,1.0,384.0,0,WD ,113500,3426
36,RM,Pave,0,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,5,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,PConc,3,757.0,GasA,925,1475,2,3,6,3,Attchd,1977.0,2,1.0,336.0,0,WD ,127000,4425
37,RL,Pave,0,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,CBlock,4,1844.0,GasA,1844,1844,2,3,7,3,Attchd,1977.0,2,2.0,546.0,0,COD,190000,5532
38,RL,Pave,0,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,7,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,CBlock,3,1242.0,GasA,1242,1242,1,3,6,3,Attchd,1973.0,1,2.0,528.0,0,WD ,175500,3726
39,RL,Pave,0,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,990.0,GasA,990,990,1,3,5,0,Detchd,1995.0,1,1.0,384.0,0,WD ,146000,2970
40,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,CBlock,3,1256.0,GasA,1256,1256,1,3,6,0,Attchd,1965.0,3,1.0,276.0,0,WD ,147500,5024
41,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,10,2006,2006,Gable,CompShg,VinylSd,VinylSd,0,0.0,5,PConc,5,2076.0,GasA,2076,2076,2,5,7,4,Attchd,2006.0,3,3.0,850.0,0,New,465000,10380
42,RL,Pave,0,Lvl,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,PConc,4,1097.0,GasA,1110,1110,1,4,4,3,Attchd,1978.0,3,2.0,602.0,0,WD ,165500,3330
43,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,BrkTil,3,1050.0,GasA,1050,1795,2,3,7,0,Attchd,1954.0,1,1.0,352.0,0,WD ,131500,5385
44,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,1040.0,GasA,1040,1040,1,3,5,0,Detchd,1965.0,1,1.0,384.0,0,WD ,129500,3120
45,RL,Pave,0,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,8,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,PConc,3,608.0,GasA,983,1873,1,3,9,4,Detchd,1935.0,3,2.0,786.0,0,WD ,257076,5619
46,RL,Pave,Grvl,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,984.0,GasA,984,1604,2,3,6,0,Detchd,1977.0,1,2.0,660.0,0,WD ,117000,4812
47,RL,Pave,0,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,7,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,BrkTil,4,776.0,GasA,851,1502,1,3,6,4,Attchd,1931.0,2,1.0,270.0,0,WD ,149000,4506
48,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,CBlock,3,1056.0,GasA,1063,1063,1,3,6,0,Attchd,1954.0,2,1.0,280.0,0,WD ,128000,3189
49,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,7,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,PConc,4,764.0,GasA,764,1626,2,4,6,0,BuiltIn,2003.0,2,2.0,474.0,0,WD ,155000,6504
50,FV,Pave,0,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,6,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,PConc,4,756.0,GasA,768,1524,2,4,4,0,Detchd,2000.0,1,2.0,440.0,0,WD ,166000,6096
51,RL,Pave,0,Lvl,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,4,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,3,BrkTil,3,1122.0,GasA,1328,1981,2,4,7,3,Detchd,1981.0,1,2.0,576.0,0,WD ,135000,5943
52,RL,Pave,0,Lvl,Inside,NWAmes,RRAn,Norm,1Fam,2Story,7,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,CBlock,4,1392.0,GasA,1392,2784,3,4,12,3,Attchd,1978.0,2,2.0,564.0,TenC,WD ,250000,8352
53,RM,Pave,0,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,2Story,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,CBlock,3,546.0,GasA,546,1092,1,3,5,0,0,1980.0,0,0.0,0.0,0,WD ,76000,3276
54,RL,Pave,0,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3,CBlock,3,216.0,GasA,1575,1575,1,4,5,4,Attchd,1951.0,1,2.0,400.0,0,WD ,155000,4725
55,RL,Pave,0,Lvl,Corner,Sawyer,Norm,Norm,1Fam,2Story,6,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3,CBlock,3,663.0,GasA,663,1352,1,3,7,0,Attchd,1969.0,3,1.0,299.0,0,WD ,158000,4056
56,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,7,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,PConc,4,600.0,GasA,600,1200,2,4,4,0,Detchd,2004.0,2,2.0,480.0,0,WD ,149500,4800
57,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1954,1975,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,936.0,GasA,936,936,1,3,5,0,Attchd,1954.0,1,1.0,240.0,0,WD ,121000,2808
58,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1040.0,GasA,1040,1040,1,3,6,0,Attchd,1953.0,3,1.0,293.0,0,WD ,136000,3120
59,RL,Pave,0,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,1996,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,PConc,4,916.0,GasA,916,1636,2,3,7,3,Attchd,1996.0,3,2.0,386.0,0,WD ,173000,4908
60,RL,Pave,0,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,8,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,4,PConc,4,1152.0,GasA,1164,2270,2,4,9,4,Attchd,1999.0,3,3.0,671.0,0,WD ,290000,9080
61,FV,Pave,0,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,8,2007,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,4,1184.0,GasA,1184,2610,2,5,11,4,BuiltIn,2007.0,3,2.0,550.0,0,New,303477,10440
62,RL,Pave,0,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,7,1977,2001,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,CBlock,4,1420.0,GasA,1483,1483,1,3,4,3,Attchd,1977.0,2,2.0,690.0,0,WD ,270000,5932
63,RM,Pave,0,Lvl,Corner,OldTown,Artery,Norm,1Fam,1.5Fin,5,1920,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,BrkTil,3,936.0,GasA,960,1740,1,5,6,4,Detchd,1920.0,1,1.0,225.0,0,WD ,122250,3480
64,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1955,1955,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,CBlock,3,1382.0,GasA,1382,1382,1,4,6,0,Attchd,1955.0,1,1.0,350.0,0,WD ,153000,4146
65,RL,Pave,0,Lvl,Inside,Mitchel,Feedr,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,1120.0,GasA,1120,1120,1,3,6,0,0,1980.0,0,0.0,0.0,0,New,147000,3360
66,RL,Pave,0,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,7,1930,1995,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,4,531.0,GasA,567,1098,1,3,5,4,Detchd,1930.0,1,1.0,216.0,0,WD ,148500,3294
67,RM,Pave,0,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,117.0,4,PConc,4,976.0,GasA,976,1708,2,4,7,0,Detchd,2004.0,1,2.0,380.0,0,WD ,130000,6832
68,RL,Pave,0,HLS,Corner,NridgHt,Norm,Norm,1Fam,1Story,9,2006,2006,Hip,CompShg,MetalSd,MetalSd,Stone,510.0,5,PConc,5,1802.0,GasA,1802,1802,2,5,7,4,Attchd,2006.0,3,3.0,843.0,0,WD ,372000,9010
69,RL,Pave,0,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,145.0,4,PConc,4,1362.0,GasA,1506,1506,2,4,6,4,Attchd,2005.0,3,2.0,440.0,0,WD ,213490,6024
70,RL,Pave,0,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,7,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,96.0,4,PConc,4,1508.0,GasA,1508,1508,1,4,5,3,Attchd,2009.0,2,2.0,572.0,0,Con,308030,6032
71,RL,Pave,0,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,7,1996,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,668.0,4,PConc,5,1840.0,GasA,2032,2032,3,4,7,0,Attchd,1996.0,3,3.0,786.0,0,WD ,300000,8128
72,RL,Pave,0,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,CBlock,3,655.0,GasA,1194,1194,1,3,6,2,BuiltIn,1954.0,3,2.0,539.0,0,WD ,159500,3582
73,RM,Pave,0,Lvl,Inside,Edwards,Norm,Norm,Twnhs,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,PConc,4,970.0,GasA,970,1709,2,4,7,0,Detchd,2004.0,1,2.0,380.0,0,WD ,137500,6836
74,RL,Pave,0,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,228.0,4,PConc,4,1616.0,GasA,1616,1616,2,4,7,0,Attchd,2005.0,2,3.0,834.0,0,WD ,232000,6464
75,RM,Grvl,0,Lvl,Inside,IDOTRR,RRNe,Norm,1Fam,1Story,6,1930,1950,Gable,CompShg,Stucco,Wd Shng,None,0.0,4,BrkTil,3,768.0,GasA,768,768,1,3,4,0,Detchd,1930.0,1,2.0,440.0,0,WD ,93850,3072
76,RL,Pave,0,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,Stone,65.0,3,BrkTil,3,872.0,GasA,872,872,1,2,5,4,Detchd,1924.0,1,1.0,322.0,0,WD ,105000,2616
77,RM,Pave,0,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,520.0,GasA,520,520,1,2,4,0,Detchd,1920.0,1,1.0,240.0,0,WD ,68500,1560
78,RL,Pave,0,Lvl,Corner,NAmes,Feedr,Norm,Duplex,2Story,5,1960,1960,Gable,CompShg,MetalSd,MetalSd,BrkFace,361.0,3,CBlock,3,1105.0,GasA,1105,2274,2,3,12,0,Detchd,1960.0,1,2.0,480.0,0,WD ,154300,6822
79,RM,Pave,0,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,1925,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,BrkTil,3,936.0,GasA,936,1601,2,3,6,0,0,1980.0,0,0.0,0.0,0,WD ,129850,6404
80,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,1910,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,616.0,GasA,616,1232,1,3,6,0,Detchd,1920.0,1,2.0,480.0,0,WD ,114000,3696
81,RL,Pave,0,Lvl,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,9,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,748.0,5,PConc,5,2216.0,GasA,2234,2234,2,5,9,4,Attchd,2009.0,3,3.0,1166.0,0,New,501837,11170
82,RM,Pave,Grvl,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,5,1915,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,876.0,GasA,876,1416,1,3,7,4,Detchd,1949.0,1,3.0,720.0,0,WD ,153900,4248
83,RL,Pave,0,Lvl,FR2,NAmes,Norm,Norm,1Fam,1Story,4,1971,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,864.0,GasA,864,864,1,3,5,0,Detchd,1986.0,1,2.0,576.0,0,WD ,130000,2592
84,RM,Pave,0,Lvl,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,1997,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,197.0,3,PConc,5,1189.0,GasA,1189,1189,2,3,4,0,Attchd,1997.0,2,2.0,392.0,0,WD ,160500,3567
85,RL,Pave,0,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,2006,2006,Hip,CompShg,MetalSd,MetalSd,BrkFace,572.0,5,PConc,5,1666.0,GasA,1666,1666,2,4,6,4,Attchd,2006.0,2,2.0,575.0,0,New,310090,8330
86,RL,Pave,0,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,0,0.0,4,PConc,4,1176.0,GasA,1200,1200,2,4,5,0,Attchd,2003.0,2,2.0,555.0,0,WD ,184900,4800
87,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1956,2000,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,4,928.0,GasA,928,928,1,3,4,0,Attchd,1956.0,1,1.0,252.0,0,WD ,132000,2784
88,RL,Pave,0,Lvl,Inside,NWAmes,Feedr,Norm,1Fam,1Story,5,1969,1969,Gable,CompShg,HdBoard,HdBoard,BrkFace,128.0,3,CBlock,4,1288.0,GasA,1336,1336,2,3,6,2,Attchd,1969.0,2,2.0,502.0,Shed,WD ,163000,4008
89,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,4,PConc,4,600.0,GasA,600,1200,2,4,4,0,Detchd,2004.0,2,2.0,480.0,0,ConLD,155000,4800
90,RL,Pave,0,Lvl,Inside,NWAmes,Norm,Norm,1Fam,SLvl,6,1969,1969,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,1427.0,GasA,1427,1427,2,3,7,0,Attchd,1969.0,2,2.0,516.0,0,WD ,183000,4281
91,RL,Pave,0,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,1996,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,254.0,4,PConc,4,860.0,GasA,1212,1992,2,4,7,3,Attchd,1996.0,2,2.0,608.0,0,WD ,211000,7968
92,RL,Pave,0,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,2Story,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,754.0,GasA,754,1540,2,4,6,0,Attchd,1994.0,2,2.0,495.0,0,WD ,184000,6160
93,RL,Pave,0,Bnk,Inside,SawyerW,Norm,Norm,Duplex,1Story,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,Slab,0,0.0,GasA,1535,1535,2,3,8,0,Attchd,1979.0,1,2.0,400.0,0,WD ,118858,4605
